Accepted Symbol,Scientific Name,Common Name,Active Growth Period,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Shape and Orientation,Anaerobic Tolerance,Drought Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End,Berry/Nut/Seed Product,Palatable Human,Protein Potential
ABELI,Abelia,abelia,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR4,Abelia ×grandiflora,glossy abelia,Spring and Summer,Rapid,6,6,Moderate,None,Semi-Erect,None,Medium,Medium,5.7,7,1200,1700,28,60,12,Low,Tolerant,-13,Late Summer,Summer,Fall,No,No,Low
ABELM,Abelmoschus,okra,,,,,,,,,,,,,,,,,,,,,,,,,,
ABES,Abelmoschus esculentus,okra,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA9,Abelmoschus manihot,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMO,Abelmoschus moschatus,musk okra,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIES,Abies,fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAL3,Abies alba,silver fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM,Abies amabilis,Pacific silver fir,Spring and Summer,Slow,20,165,Long,None,Erect,None,Low,Medium,3.3,6,300,700,38,260,36,None,Tolerant,-28,Late Spring,Summer,Fall,No,No,
ABBA,Abies balsamea,balsam fir,Spring and Summer,Slow,18,60,Short,None,Conical,None,Low,Medium,4,6,300,1200,13,60,20,None,Tolerant,-43,Mid Summer,Fall,Fall,No,No,Low
ABBAB,Abies balsamea var. balsamea,balsam fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBAP,Abies balsamea var. phanerolepis,balsam fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBR,Abies bracteata,bristlecone fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCO,Abies concolor,white fir,Spring and Summer,Slow,20,120,Long,None,Conical,None,Medium,Medium,5.5,7.8,300,1200,18,80,40,None,Intermediate,-38,Late Spring,Summer,Fall,No,No,Low
ABFI,Abies firma,Momi fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR,Abies fraseri,Fraser fir,Spring and Summer,Moderate,20,55,Moderate,None,Erect,Low,Low,Medium,3.5,5.5,435,1200,45,100,6,Low,Tolerant,-23,Mid Spring,Spring,Fall,No,No,Low
ABGR,Abies grandis,grand fir,Spring and Summer,Moderate,25,150,Long,None,Conical,Low,Medium,Medium,4.5,7.5,300,1200,11,100,20,None,Tolerant,-33,Late Spring,Summer,Fall,No,No,Low
ABGU,Abies guatemalensis,Guatemalan fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHO,Abies homolepis,Nikko fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLA,Abies lasiocarpa,subalpine fir,Spring and Summer,Slow,15,90,Long,None,Conical,None,Low,Medium,4,6.5,300,1200,20,150,40,None,Tolerant,-51,Late Spring,Summer,Fall,No,No,Low
ABLAA,Abies lasiocarpa var. arizonica,corkbark fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLAL,Abies lasiocarpa var. lasiocarpa,subalpine fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLO,Abies lowiana,Sierra white fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA,Abies magnifica,California red fir,Spring and Summer,Slow,35,150,Long,None,Erect,None,Low,Medium,5,6.1,430,1200,33,64,20,Low,Tolerant,-23,Late Spring,Summer,Fall,No,No,Low
ABMAM,Abies magnifica var. magnifica,California red fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMAS,Abies magnifica var. shastensis,Shasta red fir,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPR,Abies procera,noble fir,Spring and Summer,Rapid,25,230,Long,None,Erect,None,Low,Low,6,7.5,430,1200,64,120,20,None,Intermediate,-23,Late Spring,Spring,Fall,No,No,Low
ABVE2,Abies veitchii,Christmastree,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIET,Abietinella,abietenella moss,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAB70,Abietinella abietina,abietinella moss,,,,,,,,,,,,,,,,,,,,,,,,,,
ABILD,Abildgaardia,sedge,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOV,Abildgaardia ovata,flatspike sedge,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRON,Abronia,sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAL,Abronia alpina,Ramshaw Meadows sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM2,Abronia ameliae,Amelia's sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM3,Abronia ammophila,Wyoming sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAN,Abronia angustifolia,purple sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAR,Abronia argillosa,clay sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBI,Abronia bigelovii,Galisteo sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBO,Abronia bolackii,Bolack's sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA,Abronia carletonii,Carleton's sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABEL,Abronia elliptica,fragrant white sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR2,Abronia fragrans,snowball sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR2,Abronia gracilis,slender sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIN2,Abronia insularis,island sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLA2,Abronia latifolia,coastal sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA5,Abronia macrocarpa,largefruit sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA2,Abronia maritima,red sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABME,Abronia mellifera,white sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMI2,Abronia minor,little sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNA,Abronia nana,dwarf sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNAC,Abronia nana var. covillei,Coville's dwarf sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNAH,Abronia nana var. harrisii,Harris' dwarf sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNAN,Abronia nana var. nana,dwarf sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNE,Abronia neurophylla,beach sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPO,Abronia pogonantha,Mojave sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTU,Abronia turbinata,transmontane sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUM,Abronia umbellata,pink sand verbena,,,,,,,,,,,,,,,,,,,,,,,,,,
